extracted_dates,Statements,Cash Rate
2012-04-03,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2012-09
Date
3 April 2012
At its meeting today, the Board decided to leave the cash rate unchanged at 4.25 per cent.
Recent information is consistent with the expectation that the world economy will grow at a below-trend pace this year, but does not suggest that a deep downturn is occurring. Several countries in Europe will record very weak outcomes, but the US economy is continuing a moderate expansion. Growth in China has moderated, as was intended, and is likely to remain at a more measured and sustainable pace in the future. Conditions around other parts of Asia softened in 2011, partly due to natural disasters, but are not showing signs of further deterioration. Some moderation in inflation has allowed policymakers in the region to ease monetary policies somewhat. Commodity prices declined for a few months last year and are noticeably off their peaks, but have been relatively stable for a while now, at quite high levels. Australia's terms of trade have peaked, though they remain high.
Financial market sentiment has generally continued to improve in recent weeks and capital markets are supplying funding to corporations and well-rated banks. At the margin, wholesale funding costs are tending to decline, though they remain higher, relative to benchmark rates, than in mid 2011. But the task of putting European banks and sovereigns onto a sound footing for the longer term remains large and Europe will remain a potential source of adverse shocks for some time yet.
In Australia, growth in domestic demand ran at its fastest for four years in 2011, driven by private spending. Nonetheless the balance of recent information suggests that output growth was somewhat below trend over the year. There are differences in performance between sectors, and considerable structural change is occurring. Labour market conditions softened during 2011, though the rate of unemployment has been little changed for some time.
Interest rates for borrowers remain close to their medium-term average. Credit growth remains modest. Housing prices have shown some signs of stabilising recently, after having declined for most of 2011, but generally the housing market remains soft. The exchange rate has remained high over recent months, even though the terms of trade have declined somewhat.
In underlying terms, inflation was around 2½ per cent in 2011. CPI inflation was higher than that but will fall over the next quarter or two. It is currently expected that inflation will be in the 2–3 per cent range over the coming one to two years. This forecast abstracts from the effects of the carbon price and also embodies an assumption that productivity growth in the economy increases somewhat as a result of the structural change now occurring. At its next meeting, the Board will have the opportunity to reassess the outlook for inflation, taking into account not only data on demand and output but also forthcoming information on prices.
The Board eased monetary policy late in 2011. Since then, its judgement has been that, with growth expected to be close to trend, inflation close to target and lending rates close to average, the setting of monetary policy was appropriate. The Board's view was also that, were demand conditions to weaken materially, the inflation outlook would provide scope for easier monetary policy. At today's meeting, the Board judged the pace of output growth to be somewhat lower than earlier estimated, but also thought it prudent to see forthcoming key data on prices to reassess its outlook for inflation, before considering a further step to ease monetary policy.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 3 Apr 2012
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",4.25
2012-03-06,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2012-04
Date
6 March 2012
At its meeting today, the Board decided to leave the cash rate unchanged at 4.25 per cent.
Recent information is consistent with the expectation that the world economy will grow at a below-trend pace this year, but does not suggest that a deep downturn is occurring. Several European countries will record very weak outcomes, but the US economy is continuing a moderate expansion. Growth in China has moderated as was intended, but on most indicators remains quite robust overall. Conditions around other parts of Asia softened in 2011, partly due to natural disasters, but are not showing signs of further deterioration. Some moderation in inflation has allowed policymakers in the region to ease monetary policies somewhat. Commodity prices declined for some months and are noticeably off their peaks, but over the past couple of months have risen somewhat and remain at quite high levels.
The acute financial pressures on banks in Europe have been alleviated considerably by the actions of policymakers, though there is more to do to put European banks and sovereigns onto a sound footing for the longer term and Europe will remain a potential source of shocks for some time yet. Financial market sentiment has continued to improve in recent weeks and capital markets are again supplying funding to corporations and well-rated banks, albeit at costs that are higher, relative to benchmark rates, than in mid 2011.
Most information on the Australian economy continues to suggest growth close to trend overall, with differences between sectors and considerable structural change. Labour market conditions softened during 2011 and the unemployment rate increased slightly in mid year, though it has been steady over recent months. CPI inflation has declined as expected and will fall further over the next quarter or two. In underlying terms, inflation is around 2½ per cent. Over the coming one to two years, and abstracting from the effects of the carbon price, the Bank expects inflation to be in the 2–3 per cent range. This forecast embodies an expectation that productivity growth will improve somewhat as a result of the structural change occurring in the economy.
Interest rates for borrowers have generally risen slightly since the Board's previous meeting, but remain close to their medium-term average. Credit growth remains modest. Housing prices have shown some sign of stabilising recently, after having declined for most of 2011, but generally the housing market remains soft. The exchange rate has risen over recent months, even though the terms of trade have declined.
With growth expected to be close to trend and inflation close to target, the Board judged that the setting of monetary policy remained appropriate for the moment. Should demand conditions weaken materially, the inflation outlook would provide scope for easier monetary policy. The Board will continue to monitor information on economic and financial conditions and adjust the cash rate as necessary to foster sustainable growth and low inflation.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 6 Mar 2012
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",4.25
2012-02-07,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2012-02
Date
7 February 2012
At its meeting today, the Board decided to leave the cash rate unchanged at 4.25 per cent.
Information becoming available since the December meeting confirms that economic conditions in Europe were weakening late last year, with risks still skewed to the downside. Reflecting this, most forecasters have lowered their forecasts for world GDP growth this year to a below trend pace. That said, recent data from the United States suggest a continuing moderate expansion after a soft patch in mid 2011. Growth in China has moderated as was intended, but on most indicators remained quite robust through the second half of last year. Conditions around other parts of Asia have softened. Commodity prices declined for some months to be noticeably off their peaks, but over the past couple of months have risen somewhat and remain at quite high levels.
The acute financial pressures on banks in Europe were alleviated considerably late in 2011 by the actions of policymakers. Much remains to be done to put European sovereigns and banks on a sound footing, but some progress has been made. Financial market sentiment, though remaining skittish, has generally improved since early December. Share markets have risen and term funding markets have re-opened, including for Australian banks, albeit at increased cost compared with the situation prevailing in mid 2011.
Information on the Australian economy continues to suggest growth close to trend, with differences between sectors. Labour market conditions softened during 2011 and the unemployment rate increased slightly in mid year, though it has been steady over recent months. CPI inflation has declined as expected, as the large rises in food prices resulting from the floods a year ago have been unwinding. Year-ended CPI inflation will fall further over the next quarter or two. In underlying terms, inflation is around 2½ per cent. Over the coming one to two years, and abstracting from the effects of the carbon price, the Bank expects inflation to be in the 2–3 per cent range.
Credit growth remains modest, though there has been a slight increase in demand for credit by businesses. Housing prices showed some sign of stabilising at the end of 2011, after having declined for most of the year. The exchange rate has risen further, even though the terms of trade have started to decline. This is largely a reflection of a decline in the euro against all currencies. Nonetheless, the Australian dollar in trade-weighted terms is somewhat higher than the Bank had previously assumed.
At today's meeting, the Board noted that interest rates for borrowers have declined to be close to their medium-term average, as a result of the actions at the Board's previous two meetings. With growth expected to be close to trend and inflation close to target, the Board judged that the setting of monetary policy was appropriate for the moment. Should demand conditions weaken materially, the inflation outlook would provide scope for easier monetary policy. The Board will continue to monitor information on economic and financial conditions and adjust the cash rate as necessary to foster sustainable growth and low inflation.
Enquiries
Dr Philip Lowe
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 7 Feb 2012
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",4.25
2013-12-03,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-25
Date
3 December 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.5 per cent.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined from their peaks, but generally remain at high levels by historical standards. Inflation in most countries is well contained.
Overall, global financial conditions remain very accommodative. Volatility in financial markets has abated recently. Long-term interest rates remain very low and there is ample funding available for creditworthy borrowers.
In Australia, the economy has been growing a bit below trend over the past year and the unemployment rate has edged higher. This is likely to persist in the near term, as the economy adjusts to lower levels of mining investment. Further ahead, private demand outside the mining sector is expected to increase at a faster pace, though considerable uncertainty surrounds this outlook. There has been an improvement in indicators of household and business sentiment recently, but it is still unclear how persistent this will be. Public spending is forecast to be quite weak.
Recent data on prices and wages show inflation consistent with the medium-term target. The Bank's assessment is that this is likely to remain the case over the next one to two years.
The easing in monetary policy that has already occurred since late 2011 has supported interest-sensitive spending and asset values. The full effects of these decisions are still coming through, and will be for a while yet. The pace of borrowing has remained relatively subdued overall to date, though recently there have been signs of increased demand for finance by households. There is also continuing evidence of a shift in savers' behaviour in response to declining returns on low-risk assets. Housing and equity markets have strengthened further over recent months, trends which should in time be supportive of investment.
The Australian dollar, while below its level earlier in the year, is still uncomfortably high. A lower level of the exchange rate is likely to be needed to achieve balanced growth in the economy.
At today's meeting, the Board judged that the setting of monetary policy remained appropriate. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the target.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 3 December 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.5
2013-11-05,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-23
Date
5 November 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.5 per cent.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined from their peaks, but generally remain at high levels by historical standards. Inflation in most countries is well contained.
Overall, global financial conditions remain very accommodative. Volatility in financial markets has abated recently. Long-term interest rates remain very low and there is ample funding available for creditworthy borrowers.
In Australia, the economy has been growing a bit below trend over the past year and the unemployment rate has edged higher. This is likely to persist in the near term, as the economy adjusts to lower levels of mining investment. Further ahead, private demand outside the mining sector is expected to increase at a faster pace, though considerable uncertainty surrounds this outlook. There has been an improvement in indicators of household and business sentiment recently, but it is still too soon to judge how persistent this will be. Public spending is forecast to be quite weak.
Recent data on prices show inflation consistent with the medium-term target. The Bank's assessment is that this is likely to remain the case over the next one to two years.
The easing in monetary policy that has already occurred since late 2011 has supported interest-sensitive spending and asset values. The full effects of these decisions are still coming through, and will be for a while yet. The pace of borrowing has remained relatively subdued overall to date, though recently there have been signs of increased demand for finance by households. There is also continuing evidence of a shift in savers' behaviour in response to declining returns on low-risk assets. Housing and equity markets have strengthened further, trends which should in time be supportive of investment.
The Australian dollar, while below its level earlier in the year, is still uncomfortably high. A lower level of the exchange rate is likely to be needed to achieve balanced growth in the economy.
At today's meeting, the Board judged that the setting of monetary policy remained appropriate. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the target.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 5 November 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.5
2013-10-01,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-19
Date
1 October 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.5 per cent.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined from their peaks, but generally remain at high levels by historical standards. Inflation in most countries remains well contained.
Overall, global financial conditions remain very accommodative. Changes in the outlook for US monetary policy have increased volatility in financial markets, but long-term interest rates remain very low and there is ample funding available for creditworthy borrowers.
In Australia, the economy has been growing a bit below trend over the past year. This is expected to continue in the near term as the economy adjusts to lower levels of mining investment. The unemployment rate has edged higher. There has been an improvement in indicators of household and business sentiment recently, though it is too soon to judge how persistent this will be. Inflation has been consistent with the medium-term target. With growth in labour costs moderating, this is expected to remain the case over the next one to two years, even with the effects of the lower exchange rate.
The easing in monetary policy since late 2011 has supported interest-sensitive spending and asset values. The full effects of these decisions are still coming through, and will be for a while yet. The pace of borrowing has remained relatively subdued to date, though recently there have been signs of increased demand for finance by households. There is also continuing evidence of a shift in savers' behaviour in response to declining returns on low-risk assets.
The Australian dollar rose recently, but is still about 10 per cent below its level in April. A lower level of the currency than seen at present would assist in rebalancing growth in the economy.
At today's meeting, the Board judged that the setting of monetary policy remained appropriate. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the target.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 1 October 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.5
2013-09-03,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-17
Date
3 September 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.5 per cent.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined from their peaks, but generally remain at high levels by historical standards. Inflation in most countries remains well contained.
Overall, global financial conditions remain very accommodative, though the recent reassessment by markets of the outlook for US monetary policy has seen a noticeable rise in sovereign bond yields, from exceptionally low levels. Volatility in financial markets has increased and has affected a number of emerging market economies in particular. Notwithstanding the higher volatility, Australian institutions have ample access to funding markets.
In Australia, the economy has been growing a bit below trend over the past year. This is expected to continue in the near term as the economy adjusts to lower levels of mining investment. The unemployment rate has edged higher. Inflation has been consistent with the medium-term target. With growth in labour costs moderating, this is expected to remain the case over the next one to two years, even with the effects of the recent depreciation of the exchange rate.
The easing in monetary policy since late 2011 has supported interest-sensitive spending and asset values, and further effects can be expected over time, including from the declines in rates seen over recent months. The pace of borrowing has remained relatively subdued, though recently there are signs of increased demand for finance by households.
The Australian dollar has depreciated by around 15 per cent since early April, although it remains at a high level. It is possible that the exchange rate will depreciate further over time, which would help to foster a rebalancing of growth in the economy.
At today's meeting, the Board judged that the setting of monetary policy remained appropriate. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the target.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 3 September 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.5
2013-08-06,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-15
Date
6 August 2013
At its meeting today, the Board decided to lower the cash rate by 25 basis points to 2.5 per cent, effective 7 August 2013.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined but, overall, remain at high levels by historical standards. Inflation has moderated over recent months in a number of countries.
Globally, financial conditions remain very accommodative, though the recent reassessment by markets of the outlook for US monetary policy has seen a noticeable rise in sovereign bond yields, from exceptionally low levels. Volatility in financial markets has increased and has affected a number of emerging market economies in particular.
In Australia, the economy has been growing a bit below trend over the past year. This is expected to continue in the near term as the economy adjusts to lower levels of mining investment. The unemployment rate has edged higher. Recent data confirm that inflation has been consistent with the medium-term target. With growth in labour costs moderating, this is expected to remain the case over the next one to two years, even with the effects of the recent depreciation of the exchange rate.
The easing in monetary policy over the past 18 months has supported interest-sensitive spending and asset values, and further effects can be expected over time. The pace of borrowing has remained relatively subdued, though recently there are signs of increased demand for finance by households.
The Australian dollar has depreciated by around 15 per cent since early April, although it remains at a high level. It is possible that the exchange rate will depreciate further over time, which would help to foster a rebalancing of growth in the economy.
The Board has previously noted that the inflation outlook could provide some scope to ease policy further, should that be required to support demand. At today's meeting, and taking account of recent information on prices and activity, the Board judged that a further decline in the cash rate was appropriate. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the inflation target over time.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 6 August 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.5
2013-07-02,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-13
Date
2 July 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.75 per cent.
Recent information is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined further but, overall, remain at high levels by historical standards. Inflation has moderated over recent months in a number of countries.
Globally, financial conditions remain very accommodative. However, a reassessment by the market of the outlook for monetary policy in the United States has seen a noticeable rise in sovereign bond yields from exceptionally low levels. Volatility in financial markets has increased and there has been some widening of credit spreads.
In Australia, the recent national accounts confirmed that the economy has been growing a bit below trend over the recent period. This is expected to continue in the near term as the economy adjusts to lower levels of mining investment. The unemployment rate has edged higher over the past year and growth in labour costs has moderated. Inflation has been consistent with the medium-term target and is expected to remain so over the next one to two years, notwithstanding the effects of the recent depreciation of the exchange rate.
The easing in monetary policy over the past 18 months has supported interest-sensitive spending and asset values and further effects can be expected over time. The pace of borrowing has remained relatively subdued, though recently there are signs of increased demand for finance by households.
The Australian dollar has depreciated by around 10 per cent since early April, although it remains at a high level. It is possible that the exchange rate will depreciate further over time, which would help to foster a rebalancing of growth in the economy.
At today's meeting the Board judged that the easier financial conditions now in place will contribute to a strengthening of growth over time, consistent with achieving the inflation target. It decided that the stance of monetary policy remained appropriate for the time being. The Board also judged that the inflation outlook, as currently assessed, may provide some scope for further easing, should that be required to support demand.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 2 July 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.75
2013-06-04,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-12
Date
4 June 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 2.75 per cent.
Information becoming available since the previous meeting is consistent with global growth running a bit below average this year, with reasonable prospects of a pick-up next year. Commodity prices have declined from their peaks but, overall, remain at high levels by historical standards. Inflation has generally moderated over recent months and monetary policy has been eased further in a number of countries.
Financial conditions internationally are very accommodative. Despite the recent rise in sovereign bond yields, funding conditions for sovereigns, well-rated corporates and most financial institutions remain very favourable.
In Australia, growth over the past year has been a bit below trend. The outlook published by the Bank last month is for a similar performance in the near term and recent data are consistent with this. The unemployment rate has edged higher over the past year and growth in labour costs has moderated. Inflation has been consistent with the medium-term target and is expected to remain so over the next one to two years.
The easing in monetary policy over the past 18 months has supported interest-sensitive areas of spending and has been reflected in portfolio shifts by savers and higher asset values. Further effects can be expected over time. The pace of borrowing has thus far remained relatively subdued, though recently there have been some signs of increased demand for finance by households. The exchange rate has depreciated since the previous Board meeting, although, as the Board has noted for some time, it remains high considering the decline in export prices that has taken place over the past year and a half.
At today's meeting the Board judged that the easier financial conditions now in place will contribute to a strengthening of growth over time, consistent with achieving the inflation target. It decided that the stance of monetary policy remained appropriate for the time being. The Board also judged that the inflation outlook, as currently assessed, may provide some scope for further easing, should that be required to support demand.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 4 June 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.75
2013-05-07,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-10
Date
7 May 2013
At its meeting today, the Board decided to lower the cash rate by 25 basis points to 2.75 per cent, effective 8 May 2013.
The global economy is likely to record growth a little below trend this year, before picking up next year. Among the major regions, the United States continues on a path of moderate expansion and China's growth is running at a more sustainable, but still robust, pace. Japan has announced significant new policy initiatives aimed at strengthening demand and ending deflation. The euro area remains in recession. Commodity prices have moderated a little in recent months though they remain high by historical standards.
Financial conditions internationally continue to be very accommodative, with risk spreads reduced, funding conditions for most financial institutions improved and borrowing costs for well-rated corporates and sovereigns exceptionally low.
Growth in Australia was close to trend in 2012 overall, but was a bit below trend in the second half of the year, and this appears to have continued into 2013. Employment has continued to grow but more slowly than the labour force, so that the rate of unemployment has increased a little, though it remains relatively low.
With the peak in the level of resources sector investment likely to occur this year, there is scope for other areas of demand to grow more strongly over the next couple of years. There has been a strengthening in consumption and a modest firming in dwelling investment, and prospects are for some increase in business investment outside the resources sector over the next year. Exports of raw materials are increasing as increased capacity comes on stream. These developments, some of which have been assisted by the reductions in interest rates that began 18 months ago, will all be helpful in sustaining growth.
Recent data on prices confirm that inflation is consistent with the target and, if anything, a little lower than expected. The CPI rose by 2½ per cent over the past year, and measures of underlying inflation gave a broadly similar outcome. These results have been pushed up a little by the impact of the carbon price. Growth of labour costs has moderated slightly over recent quarters while productivity growth appears to be improving. This should help to lessen increases in prices for non-tradables. The Bank's forecast remains that inflation over the next one to two years will be consistent with the target.
Over recent meetings, the Board has noted that interest rates have already been reduced substantially, with borrowing rates approaching previous lows, and that the effects of this on the economy are continuing to emerge. Savers have been changing their portfolios towards assets with higher expected returns, asset values have risen and some interest-sensitive areas of spending have increased.
The exchange rate, on the other hand, has been little changed at a historically high level over the past 18 months, which is unusual given the decline in export prices and interest rates during that time. Moreover, the demand for credit remains, at this point, relatively subdued.
The Board has previously noted that the inflation outlook would afford scope to ease further, should that be necessary to support demand. At today's meeting the Board decided to use some of that scope. It judged that a further decline in the cash rate was appropriate to encourage sustainable growth in the economy, consistent with achieving the inflation target.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 7 May 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",2.75
2013-04-02,"Media Release
Statement by Glenn Stevens, Governor:
Monetary Policy Decision
Number
2013-06
Date
2 April 2013
At its meeting today, the Board decided to leave the cash rate unchanged at 3.0 per cent.
Global growth is forecast to be a little below average for a time, but the downside risks appear to be reduced. While Europe remains in recession, the United States is experiencing a moderate expansion and growth in China has stabilised at a fairly robust pace. Around Asia generally, growth was dampened by the earlier slowing in China and the weakness in Europe, but again there are signs of stabilisation. Commodity prices have declined somewhat recently, but are still at historically high levels.
Internationally, financial conditions are very accommodative. Risk spreads are narrow and funding conditions for financial institutions have improved. Long-term interest rates faced by highly rated sovereigns, including Australia, remain at exceptionally low levels. Borrowing conditions for large corporations are similarly very attractive. Share prices are substantially above their low points. However, the task of putting private and public finances on sustainable paths in several major countries is far from complete. Accordingly, financial markets remain vulnerable to setbacks.
In Australia, growth was close to trend over 2012, led by very large increases in capital spending in the resources sector, while some other sectors experienced weaker conditions. Looking ahead, the peak in resource investment is drawing close. There will, therefore, be more scope for some other areas of demand to strengthen.
Recent information suggests that moderate growth in private consumption spending is occurring, though a return to the very strong growth of some years ago is unlikely. While the near-term outlook for investment outside the resources sector is relatively subdued, a modest increase is likely to begin over the next year. Dwelling investment is slowly increasing, with rising dwelling prices and high rental yields. Exports of natural resources are strengthening. Public spending, in contrast, is forecast to be constrained.
Inflation is consistent with the medium-term target, with both headline CPI and underlying measures at around 2¼ per cent on the latest reading. Labour costs remain contained and businesses are focusing on lifting efficiency. These trends should help to keep inflation low, even as the effects on prices of the earlier exchange rate appreciation wane. The Bank's assessment remains that inflation will be consistent with the target over the next one to two years.
There are a number of indications that the substantial easing of monetary policy during late 2011 and 2012 is having an expansionary effect on the economy. Further such effects can be expected to emerge over time. On the other hand, the exchange rate, which has risen recently, remains higher than might have been expected, given the observed decline in export prices. The demand for credit has also remained low thus far, as some households and firms continue to seek lower debt levels.
The Board's view is that with inflation likely to be consistent with the target, and with growth likely to be a little below trend over the coming year, an accommodative stance of monetary policy is appropriate. The inflation outlook, as assessed at present, would afford scope to ease policy further, should that be necessary to support demand. At today's meeting, the Board judged that it was prudent to leave the cash rate unchanged. The Board will continue to assess the outlook and adjust policy as needed to foster sustainable growth in demand and inflation outcomes consistent with the target over time.
Enquiries
Dr Christopher Kent
Assistant Governor (Economic)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8800
Dr Guy Debelle
Assistant Governor (Financial Markets)
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 8200
Media Office
Information Department
Reserve Bank of Australia
SYDNEY
Phone: +61 2 9551 9720
Fax: +61 2 9551 8033
E-mail: rbainfo@rba.gov.au
Related Information
Minutes of the Monetary Policy Meeting – 2 Apr 2013
Share
Share on
Facebook
Share on
Twitter
Share on
LinkedIn
Share via
Email",3.0
