word,sentiment
confrontaciones,negative
confrontado,negative
confrontando,negative
confronta,negative
confundir,negative
confundido,negative
confunde,negative
confusamente,negative
confusión,negative
conspiraciones,negative
conspiración,negative
conspirador,negative
conspiradores,negative
conspirar,negative
conspirado,negative
conspira,negative
conspirando,negative
desacato,negative
contenido,negative
contenciones,negative
contencioso,negative
impugnado,negative
impugnante,negative
contracción,negative
contracciones,negative
contradecir,negative
contradicción,negative
contradicciones,negative
contradictorio,negative
contradice,negative
contrario,negative
controvertido,negative
controversias,negative
controversia,negative
convicción,negative
convicciones,negative
corregido,negative
corrigiendo,negative
corrección,negative
correcciones,negative
corrige,negative
corrupto,negative
corrupción,negative
corrupciones,negative
corruptamente,negative
costoso,negative
reconvención,negative
contrademanda,negative
falsificado,negative
falsificador,negative
falsificadores,negative
falsificación,negative
falsificaciones,negative
contramedidas,negative
crimen,negative
crímenes,negative
criminal,negative
criminalmente,negative
criminales,negative
crisis,negative
crítica,negative
críticamente,negative
críticas,negative
criticar,negative
criticado,negative
critica,negative
criticando,negative
crucial,negative
crucialmente,negative
culpable,negative
engorroso,negative
restringido,negative
recortes,negative
daño,negative
dañado,negative
daños,negative
perjudicial,negative
amortigua,negative
amortiguado,negative
peligro,negative
peligroso,negative
peligrosamente,negative
peligros,negative
bloqueo,negative
bloqueado,negative
bloqueados,negative
peso muerto,negative
inhabilitación,negative
inhabilitado,negative
inhabilitar,negative
fallecido,negative
engaño,negative
engañoso,negative
engañado,negative
engaños,negative
engañosamente,negative
declive,negative
declinó,negative
declina,negative
declinante,negative
desfigurar,negative
difamación,negative
difamaciones,negative
difamatorio,negative
difamar,negative
difamado,negative
difama,negative
default,negative
defaulting,negative
defaults,negative
derrota,negative
derrotado,negative
derrotar,negative
derrotas,negative
defecto,negative
defectuoso,negative
defectos,negative
defender,negative
acusados,negative
defendidos,negative
defensores,negative
defensivos,negative
aplazados,negative
deficiencias,negative
deficiencia,negative
deficiente,negative
déficit,negative
defraudar,negative
defraudado,negative
defraudador,negative
defrauda,negative
difunto,negative
degradación,negative
degradaciones,negative
degradar,negative
degradado,negative
degradante,negative
retraso,negative
retrasado,negative
retrasos,negative
nocivo,negative
deliberado,negative
deliberadamente,negative
delincuencias,negative
delincuencia,negative
delincuente,negative
delincuentemente,negative
delincuentes,negative
eliminados,negative
fallecidos,negative
demolición,negative
negar,negative
negado,negative
niega,negative
denigrar,negative
agotar,negative
agotado,negative
agota,negative
agotamiento,negative
desprecio,negative
deprimir,negative
deprimido,negative
deprime,negative
deprimente,negative
privación,negative
privar,negative
privado,negative
despectivo,negative
desestabilización,negative
desestabilizar,negative
destruir,negative
destrucción,negative
destructivo,negative
detener,negative
detenido,negative
detención,negative
detenciones,negative
disuadir,negative
deterioro,negative
disuadido,negative
disuasión,negative
detraer,negative
perjudicialmente,negative
devaluar,negative
devastar,negative
devastado,negative
devastador,negative
devastación,negative
desviado,negative
desviación,negative
desviaciones,negative
devolución,negative
difícil,negative
dificultades,negative
difícilmente,negative
dificultad,negative
disminuye,negative
disminución,negative
desventaja,negative
desafiliación,negative
en desacuerdo,negative
desagradable,negative
desacuerdos,negative
no está de acuerdo,negative
rechazar,negative
desaparecer,negative
desaparición,negative
desapariciones,negative
desaparecido,negative
desapareciendo,negative
desaparece,negative
decepcionado,negative
decepción,negative
decepciones,negative
desaprobación,negative
desaprobaciones,negative
desaprobar,negative
desaprobado,negative
desaprueba,negative
desaprobando,negative
desasocia,negative
desasociación,negative
desasociaciones,negative
desastre,negative
desastres,negative
desastroso,negative
desastrosamente,negative
desautorizar,negative
disciplinario,negative
renunciar,negative
renunciado,negative
renuncia,negative
revelar,negative
revela,negative
revelación,negative
descontinuación,negative
descontinuaciones,negative
descontinuar,negative
desalentar,negative
desalentada,negative
desacreditada,negative
desacredita,negative
discrepancias,negative
discrepancia,negative
desfavorece,negative
disfavors,negative
distorge,negative
distorged,negative
distorgement,negative
distorgements,negative
distorges,negative
distorging,negative
vergüenza,negative
vergonzoso,negative
vergonzosamente,negative
deshonesto,negative
deshonestidad,negative
deshonra,negative
deshonroso,negative
deshonrado,negative
desincentivos,negative
desinteresado,negative
desleal,negative
deslealmente,negative
deslealtad,negative
triste,negative
tristemente,negative
despedir,negative
despreciando,negative
desordenadamente,negative
menosprecia,negative
disparidades,negative
disparidad,negative
desplazar,negative
desplazado,negative
desplazamiento,negative
desplazamientos,negative
disponer,negative
desposeer,negative
desposeído,negative
desproporción,negative
desproporcionado,negative
desproporcionadamente,negative
disputa,negative
disputado,negative
disputas,negative
disputando,negative
descalificación,negative
descalificaciones,negative
descalificado,negative
descalifica,negative
descalificar,negative
ignorar,negative
de mala reputación,negative
desacreditar,negative
perturbar,negative
perturbaciones,negative
perturba,negative
insatisfacción,negative
insatisfecho,negative
disidente,negative
disidentes,negative
disolución,negative
disoluciones,negative
distorsionar,negative
distorsionado,negative
distorsión,negative
distorsiones,negative
distraído,negative
distracción,negative
distracciones,negative
distrae,negative
angustia,negative
angustiado,negative
perturbación,negative
desvío,negative
desviando,negative
desinvirtiendo,negative
desinversiones,negative
divorcio,negative
divorciado,negative
divulgar,negative
divulgado,negative
divulga,negative
divulgando,negative
duda,negative
dudoso,negative
dudas,negative
rebaja,negative
rebajado,negative
reducido,negative
downsizings,negative
downtime,negative
downtimes,negative
downturn,negative
downturns,negative
downward,negative
downwards,negative
drag,negative
drástico,negative
drásticamente,negative
inconveniente,negative
inconvenientes,negative
caída,negative
caído,negative
sequía,negative
coacción,negative
disfunción,negative
disfuncional,negative
disfunciones,negative
atroz,negative
atrozmente,negative
embargo,negative
embargado,negative
avergonzar,negative
avergonzado,negative
desfalcosinvadir,negative
invadir,negative
gravar,negative
grava,negative
gravamen,negative
peligra,negative
poner en peligro,negative
imponer,negative
erosionar,negative
erosiona,negative
erosionando,negative
erosión,negative
errático,negative
erróneo,negative
erróneamente,negative
error,negative
errores,negative
errs,negative
escalar,negative
evadir,negative
evasionar,negative
desalojar,negative
exacerba,negative
exacerbando,negative
exacerbación,negative
exacerbaciones,negative
exagerar,negative
exagerado,negative
exagerando,negative
exageración,negative
excesivo,negative
excesivamente,negative
exculpar,negative
exculpa,negative
exculpando,negative
exculpación,negative
exculpaciones,negative
exculpatorio,negative
exonerar,negative
exonerado,negative
exonera,negative
exoneración,negative
explotar,negative
explotación,negative
explotaciones,negative
exposición,negative
expuesto,negative
expone,negative
exponiendo,negative
expropiar,negative
expropiado,negative
expropia,negative
expropiando,negative
expropiación,negative
expropiaciones,negative
expulsión,negative
expulsiones,negative
atenuante,negative
fallo,negative
fallido,negative
falla,negative
fallout,negative
falso,negative
falsamente,negative
falsedad,negative
fatalidades,negative
fatalidad,negative
fatalmente,negative
culpa,negative
fallas,negative
miedo,negative
delitos,negative
delito grave,negative
ficticio,negative
multado,negative
multas,negative
despedido,negative
despido,negative
prohibir,negative
prohíbe,negative
forzar,negative
forzado,negative
forzando,negative
ejecutar,negative
prevenir,negative
perder,negative
decomiso,negative
decomisos,negative
fraude,negative
fraudes,negative
fraudulencia,negative
fraudulento,negative
fraudulentamente,negative
frívolo,negative
frívolamente,negative
frustrado,negative
frustrante,negative
frustración,negative
frustraciones,negative
fugitivo,negative
fugitivos,negative
gratuito,negative
gratis,negative
groseramente,negative
infundado,negative
obstaculizar,negative
obstáculos,negative
hostigamiento,negative
acosado,negative
acoso,negative
penuria,negative
penurias,negative
dañando,negative
perjudica,negative
duro,negative
más duro,negative
duramente,negative
dureza,negative
obstaculizado,negative
obstaculizando,negative
obstáculo,negative
hostil,negative
hostilidad,negative
inactivo,negative
ignorado,negative
ignora,negative
ignorando,negative
ilegal,negative
ilegalidades,negative
ilegalidad,negative
ilegalmente,negative
ilegible,negative
ilícito,negative
ilícitamente,negative
sin liquidez,negative
falta de liquidez,negative
desequilibrio,negative
inmaduro,negative
inmoral,negative
impedimentos,negative
impasse,negative
impases,negative
impide,negative
impeded,negative
impedes,negative
impediment,negative
impediendo,negative
inminente,negative
imperativo,negative
imperfección,negative
imperfecciones,negative
imperil,negative
no permisible,negative
implicar,negative
implicado,negative
implica,negative
implicando,negative
imposibilidad,negative
imposible,negative
incautación,negative
impracticable,negative
impracticables,negative
encarcelamiento,negative
impropio,negative
impropiamente,negative
impropios,negative
impropiedad,negative
imprudente,negative
imprudentemente,negative
incapacidad,negative
inaccesible,negative
inexactitudes,negative
inexactitud,negative
inexacta,negative
inexactamente,negative
inacción,negative
inacciones,negative
inactivar,negative
inactivado,negative
inactiva,negative
inactivando,negative
inactivación,negative
inactivaciones,negative
inactividad,negative
insuficiencias,negative
inadecuación,negative
inadecuada,negative
inadecuadamente,negative
inadvertidamente,negative
desaconsejable,negative
inapropiado,negative
inapropiadamente,negative
falta de atención,negative
incapaz,negative
incapacitado,negative
encarcelar,negative
encarcelado,negative
encarcela,negative
encarcelando,negative
encarcelamientos,negative
incidencia,negative
incidencias,negative
incidente,negative
incidentes,negative
incompatibilidades,negative
incompatibilidad,negative
incompatible,negative
incompetencia,negative
incompetente,negative
incompleto,negative
inconcluso,negative
inconsistencias,negative
inconsistencia,negative
inconsistente,negative
inconsistentemente,negative
inconveniencia,negative
incorrecto,negative
incorrectamente,negative
indecencia,negative
indecente,negative
irrebatible,negative
irrevocablemente,negative
procesable,negative
acusador,negative
ineficaz,negative
ineficazmente,negative
ineficacia,negative
ineficacias,negative
ineficiencia,negative
ineficiente,negative
ineficientemente,negative
inelegibilidad,negative
inelegible,negative
no equitativo,negative
inequitativamente,negative
inequidades,negative
inequidad,negative
inevitable,negative
inexperiencia,negative
inexperto,negative
inferior,negative
infligido,negative
infracción,negative
infracciones,negative
infringir,negative
infringido,negative
infractores,negative
inhibido,negative
enemigo,negative
mandato judicial,negative
mandatos judiciales,negative
lesionar,negative
lesionado,negative
desordenado,negative
investigación,negative
inseguro,negative
insensible,negative
insolvencias,negative
insolvencia,negative
insolvente,negative
inestabilidad,negative
insubordinación,negative
insuficiencia,negative
insuficiente,negative
insuficientemente,negative
insurrección,negative
insurrecciones,negative
intencional,negative
interferir,negative
interferido,negative
interferencia,negative
interferencias,negative
interfiere,negative
interfiriendo,negative
intermitente,negative
intermitentemente,negative
interrumpe,negative
interrumpido,negative
interrumpiendo,negative
interrupción,negative
interrupciones,negative
intimidación,negative
intrusión,negative
no válido,negative
invalidar,negative
invalidado,negative
invalida,negative
invalidando,negative
invalidación,negative
invalidez,negative
investigar,negative
investigado,negative
investiga,negative
investigando,negative
investigaciones,negative
involuntariamente,negative
involuntario,negative
irreconciliable,negative
irreconciliablemente,negative
irrecuperable,negative
irregular,negative
irregularidades,negative
irregularidad,negative
irregularmente,negative
irreparable,negative
irreparablemente,negative
irreversible,negative
en peligro,negative
justificable,negative
a sabiendas,negative
falta,negative
mediocre,negative
lapso,negative
caducado,negative
lapsos,negative
caducación,negative
tarde,negative
lavado,negative
despidos,negative
mentira,negative
limitación,negative
limitaciones,negative
persistente,negative
liquidar,negative
liquidación,negative
liquidaciones,negative
liquidador,negative
liquidadores,negative
litigante,negative
litigantes,negative
litigar,negative
litigado,negative
litigio,negative
pierde,negative
pérdida,negative
pérdidas,negative
perdido,negative
malversación,negative
mal funcionamiento,negative
malicia,negative
malicioso,negative
maliciosamente,negative
negligencia,negative
manipular,negative
manipulado,negative
manipula,negative
manipulación,negative
manipulaciones,negative
manipulador,negative
rebajas,negative
aplicación incorrecta,negative
aplicaciones incorrectas,negative
aplica incorrectamente,negative
apropiarse indebidamente,negative
apropiación indebida,negative
apropiaciones indebidas,negative
mal etiquetado,negative
caracterización errónea,negative
clasificación incorrecta,negative
clasificaciones incorrectas,negative
clasificar erróneamente,negative
falta de comunicación,negative
mala conducta,negative
fecha incorrecta,negative
delito menor,negative
delitos menores,negative
mal dirigido,negative
mal manejo,negative
mal información,negative
desinformación,negative
mal informado,negative
malinterpretado,negative
mala interpretación,negative
malas interpretaciones,negative
juzgar mal,negative
etiquetar mal,negative
mal etiquetadoengañar,negative
engañar,negative
manejar mal,negative
desajuste,negative
desajustes,negative
fuera de lugar,negative
precio erróneo,negative
precios erróneos,negative
tergiversar,negative
tergiversación,negative
tergiversaciones,negative
incorrectas,negative
paso en falso,negative
pasos en falso,negative
equivocado,negative
malentendido,negative
malentendidos,negative
mal uso,negative
uso indebido,negative
monopolista,negative
monopolistas,negative
monopolización,negative
monopolizar,negative
monopolizado,negative
monopoliza,negative
monopolizando,negative
monopolio,negative
moratoria,negative
moratorias,negative
suspendido,negative
negativo,negative
negativamente,negative
negativos,negative
negligencias,negative
no competitivo,negative
no conforme,negative
no conformidades,negative
no conformidad,negative
no divulgación,negative
no funcional,negative
falta de pago,negative
improductivo,negative
no productivo,negative
no renovable,negative
molesto,negative
anulación,negative
anulaciones,negative
anula,negative
objetado,negative
objetando,negative
objeción,negative
objetable,negative
objetablemente,negative
objeciones,negative
obsceno,negative
obscenidad,negative
obsolescencia,negative
obsoleto,negative
obstruir,negative
obstruido,negative
obstruyendo,negative
obstrucción,negative
obstrucciones,negative
ofensa,negative
ofensas,negative
ofender,negative
ofendido,negative
infractor,negative
ofensor,negative
ofende,negative
omisión,negative
omisiones,negative
omitir,negative
omite,negative
omitido,negative
omitiendo,negative
onerosa,negative
oportunista,negative
oportunistamente,negative
opuesto,negative
opone,negative
oposición,negative
oposiciones,negative
anticuado,negative
exceso,negative
excesos,negative
sobreconstrucción,negative
sobreconstrucciones,negative
sobreconstruido,negative
sobrecargado,negative
sobrecapacidades,negative
sobrecapacidad,negative
sobrecarga,negative
superar,negative
superando,negative
atrasado,negative
sobreestimar,negative
sobreestimación,negative
sobreestimaciones,negative
sobrecargas,negative
pasar por alto,negative
pago en exceso,negative
pagos en exceso,negative
sobreproducida,negative
sobreproduce,negative
sobreproducción,negative
sobrepasa,negative
eclipsa,negative
exagerados,negative
exagerada,negative
exageradas,negative
exageradamente,negative
exceso de oferta,negative
sobreoferta,negative
sobreofertas,negative
sobre oferta,negative
abiertamente,negative
volcar,negative
volcarse,negative
vuelca,negative
vuelcan,negative
sobrevalora,negative
sobrevalorar,negative
sobrevalorado,negative
sobrevalorados,negative
pánico,negative
penalizar,negative
penalidad,negative
penalizaciones,negative
penalización,negative
perjurio,negative
perpetar,negative
perpetrar,negative
perpetra,negative
perpetró,negative
persiste,negative
persistencia,negative
persistencias,negative
persistentemente,negative
generalizado,negative
generalmente,negative
pequeño,negative
demandante,negative
demandantes,negative
alegato,negative
abogado,negative
alegatos,negative
pobre,negative
mal,negative
posa,negative
posando,negative
aplazado,negative
aplazada,negative
aplazamiento,negative
aplazamientos,negative
pospone,negative
posponer,negative
excluido,negative
excluye,negative
que excluye,negative
depredador,negative
perjuicio,negative
perjuiciado,negative
prejuicios,negative
prematuro,negative
prematura,negative
prematuramente,negative
presionando,negative
antes del juicio,negative
previniendo,negative
prevención,negative
previene,negative
problema,negative
problemática,negative
problemático,negative
problemas,negative
prolongar,negative
prolongación,negative
prolongaciones,negative
prolongado,negative
prolongando,negative
prolonga,negative
propenso,negative
procesar,negative
procesado,negative
procesamiento,negative
protesta,negative
protestó,negative
manifestante,negative
manifestantes,negative
protestando,negative
protestas,negative
provocar,negative
provocado,negative
provoca,negative
provocando,negative
castigado,negative
castiga,negative
castigar,negative
castigo,negative
castigos,negative
punitivo,negative
significado,negative
supuesto,negative
supuestamente,negative
supuestos,negative
pregunta,negative
cuestionable,negative
cuestionablemente,negative
cuestionado,negative
cuestionamiento,negative
preguntas,negative
salir,negative
mafioso,negative
racionalización,negative
racionalizaciones,negative
racionalizar,negative
reevaluación,negative
reevaluaciones,negative
reasignar,negative
reasignado,negative
reasignación,negative
reasignaciones,negative
retirada,negative
recesión,negative
recesiones,negative
redactado,negative
redacting,negative
redaction,negative
redactions,negative
redefault,negative
redefaulted,negative
redefaults,negative
redress,negative
reparada,negative
repara,negative
reparando,negative
rechazado,negative
rechazos,negative
renuncias,negative
renuencia,negative
renuente,negative
renegociar,negative
renegociando,negative
renegociación,negative
renegociaciones,negative
reparación,negative
reparaciones,negative
reposesión,negative
repudiar,negative
repudia,negative
repudio,negative
reiteración,negative
reexpresiones,negative
reexpresa,negative
reestructurar,negative
reestructuración,negative
reestructuraciones,negative
represalias,negative
represalia,negative
retribución,negative
retribuciones,negative
revocación,negative
revocaciones,negative
revocar,negative
ridiculizar,negative
más arriesgado,negative
arriesgado,negative
sabotaje,negative
sacrificio,negative
sacrificado,negative
sacrificios,negative
escandaloso,negative
escándalos,negative
escrutar,negative
escrutado,negative
escruta,negative
escrutando,negative
escrutinio,negative
secreto,negative
incautar,negative
incautado,negative
incauta,negative
apresar,negative
sentenciado,negative
sentencia,negative
grave,negative
gravemente,negative
gravedad,negative
retrocesos,negative
severo,negative
severamente,negative
severidad,negative
conmocionado,negative
escasez,negative
encogimiento,negative
encogimientos,negative
cerrar,negative
calumniar,negative
deslizamiento,negative
deslizamientos,negative
lento,negative
ralentización,negative
ralentizado,negative
más lento,negative
lentamente,negative
lentitud,negative
solvencias,negative
solvencia,negative
spam,negative
spammers,negative
spamming,negative
asombroso,negative
estancada,negative
estancamiento,negative
paralización,negative
robado,negative
paradas,negative
tensión,negative
estrés,negative
estresado,negative
estresa,negative
estresante,negative
riguroso,negative
fuerte,negative
sujeto,negative
sometimiento,negative
citación,negative
subestándar,negative
demandar,negative
sufrir,negative
sufrió,negative
sufriendo,negative
sufre,negative
convocar,negative
susceptibilidad,negative
susceptible,negative
sospechoso,negative
sospechosos,negative
suspender,negative
suspendiendo,negative
suspende,negative
suspensión,negative
suspensiones,negative
sospecha,negative
sospechas,negative
sospechosamente,negative
mancha,negative
manchado,negative
manchas,negative
tiempo,negative
terminar,negative
terminado,negative
termina,negative
terminando,negative
terminación,negative
terminaciones,negative
testificar,negative
amenazar,negative
amenazas,negative
apretar,negative
tolerar,negative
tortuoso,negative
tortuosamente,negative
tragedias,negative
tragedia,negative
trágico,negative
trágicamente,negative
traumático,negative
turbulencia,negative
inaceptable,negative
inaceptablemente,negative
no contabilizado,negative
no anunciado,negative
no anticipado,negative
no aprobado,negative
poco atractivo,negative
no autorizado,negative
no disponible,negative
inevitablemente,negative
no consciente,negative
incobrable,negative
no cobrado,negative
incobrables,negative
inconcebible,negative
incontrolable,negative
incontrolablemente,negative
descontrolado,negative
no corregido,negative
descubrir,negative
imposible de entregar,negative
no entregado,negative
subcapitalizado,negative
socavado,negative
subestimado,negative
subestima,negative
subestimando,negative
infrafinanciado,negative
subasegurado,negative
mal pagado,negative
pago insuficiente,negative
pagos insuficientes,negative
rendimiento inferior,negative
bajo rendimiento,negative
subproducción,negative
subestimación,negative
subutilización,negative
subutilizado,negative
indeseable,negative
no deseado,negative
no detectado,negative
indeterminado,negative
no revelado,negative
indocumentado,negative
indebido,negative
indebidamente,negative
antieconómico,negative
desempleado,negative
desempleo,negative
desempleados,negative
poco ético,negative
poco éticos,negative
injustificado,negative
inesperado,negative
inesperadamente,negative
injusto,negative
injustamente,negative
desfavorable,negative
desfavorablemente,negative
no factible,negative
no apto,negative
no aptos,negative
imprevisible,negative
imprevisto,negative
desafortunado,negative
lamentablemente,negative
antipático,negative
incumplido,negative
sin fondos,negative
sin seguro,negative
no intencionado,negative
injustificable,negative
injustificadamente,negative
sin saber,negative
sin saberlo,negative
sin licencia,negative
sin liquidar,negative
no comercializable,negative
sin mérito,negative
innecesariamente,negative
innecesario,negative
no obtenible,negative
desocupado,negative
no pagado,negative
no realizado,negative
no planificado,negative
impopular,negative
imprevisibilidad,negative
impredecible,negative
no rentable,negative
no calificado,negative
poco realista,negative
irrazonable,negative
irracionalmente,negative
poco receptivo,negative
no recuperado,negative
no reembolsado,negative
no fiable,negative
no remediado,negative
no declarado,negative
no resuelto,negative
malestar,negative
no vendible,negative
insatisfactorio,negative
no programado,negative
no vendido,negative
no estabilizado,negative
inestable,negative
sin fundamento,negative
sin éxito,negative
inadecuado,negative
insospechado,negative
desprevenido,negative
insostenible,negative
intempestivo,negative
no confiable,negative
inutilizable,negative
no bienvenido,negative
falta de voluntad,negative
urgencia,negative
urgente,negative
usuroso,negative
usurpador,negative
usurpado,negative
usurpa,negative
usura,negative
vandalismo,negative
veredicto,negative
veredictos,negative
vetados,negative
víctimas,negative
violan,negative
violaciones,negative
violativo,negative
violador,negative
violadores,negative
violencia,negative
violento,negative
violentamente,negative
viciar,negative
volátil,negative
volatilidad,negative
vulnerabilidades,negative
vulnerabilidad,negative
vulnerable,negative
vulnerablemente,negative
advertir,negative
advertido,negative
advertencias,negative
desperdiciado,negative
despilfarro,negative
desperdicio,negative
débil,negative
debilitado,negative
debilitamiento,negative
debilita,negative
debilidad,negative
debilidades,negative
intencionadamente,negative
preocupaciones,negative
preocupante,negative
peor,negative
peores,negative
empeorado,negative
empeorando,negative
sin valor,negative
amortización,negative
malas,negative
falló,negative
fallan,negative
débiles,negative
desplomado,negative
incierto,negative
incertidumbre,negative
recesivo,negative
recesivos,negative
riesgo,negative
riesgos,negative
riesgoso,negative
amenaza,negative
sanción,negative
sanciones,negative
abajo,negative
disminuyendo,negative
disminuyó,negative
disminuyen,negative
cae,negative
caen,negative
cayendo,negative
cayó,negative
caerán,negative
caer,negative
deteriora,negative
deteriore,negative
deteriorado,negative
empeora,negative
empeorar,negative
empeoran,negative
debilitándose,negative
bajo,negative
más bajo,negative
menos,negative
más pequeño,negative
más pequeña,negative
encoger,negative
encoge,negative
encogido,negative
debajo,negative
desafiante,negative
desafiados,negative
disponible,positive
abundancia,positive
abundante,positive
aclamado,positive
lograr,positive
logrado,positive
logra,positive
logro,positive
logrando,positive
logros,positive
alcanzar,positive
alcanzado,positive
adecuadamente,positive
avance,positive
avances,positive
avanzando,positive
ventaja,positive
aventajado,positive
ventajoso,positive
ventajosamente,positive
ventajas,positive
alianza,positive
alianzas,positive
asegurar,positive
asegurado,positive
asegura,positive
asegurando,positive
atractivo,positive
atractivos,positive
hermoso,positive
hermosamente,positive
beneficioso,positive
beneficiosamente,positive
beneficio,positive
beneficiado,positive
beneficiada,positive
beneficiando,positive
beneficiándose,positive
mejor,positive
mejores,positive
reforzado,positive
reforzando,positive
refuerza,positive
boom,positive
booming,positive
impulsar,positive
impulsado,positive
impulsando,positive
brillante,positive
caritativo,positive
colaborar,positive
colaboró,positive
colabora,positive
colaborando,positive
colaboración,positive
colaboraciones,positive
colaborativo,positive
colaborador,positive
colaboradores,positive
cumplido,positive
gratuito,positive
felicitado,positive
felicitando,positive
felicitaciones,positive
concluyente,positive
conclusivamente,positive
propicio,positive
confiado,positive
constructivo,positive
constructivamente,positive
cortés,positive
creativo,positive
creativamente,positive
creativos,positive
creatividad,positive
deleite,positive
encantado,positive
encantador,positive
deliciosamente,positive
delicias,positive
confiabilidad,positive
confiable,positive
confianza,positive
deseable,positive
deseado,positive
a pesar de,positive
destinado,positive
diligente,positive
diligentemente,positive
distinción,positive
distinciones,positive
distintivo,positive
distintivos,positive
distintiva,positive
sueño,positive
más fácil,positive
fácilmente,positive
fácil,positive
efectivo,positive
eficiencias,positive
eficiencia,positive
eficiente,positive
eficientemente,positive
empoderar,positive
habilitar,positive
habilitado,positive
habilita,positive
permitiendo,positive
animado,positive
aliento,positive
alienta,positive
alentando,positive
alentador,positive
mejorar,positive
mejorado,positive
mejora,positive
mejoras,positive
disfrutar,positive
agradable,positive
agradablemente,positive
disfrutado,positive
disfrutando,positive
disfruta,positive
entusiasmo,positive
entusiasta,positive
entusiastamente,positive
excelencia,positive
excelente,positive
sobresaliente,positive
sobresale,positive
excepcional,positive
excepcionalmente,positive
emocionado,positive
excitación,positive
emocionante,positive
exclusivo,positive
exclusivos,positive
exclusividad,positive
ejemplar,positive
fantástico,positive
favorable,positive
favorablemente,positive
favorecido,positive
favoreciendo,positive
favorito,positive
favoritos,positive
amigable,positive
ganancia,positive
ganado,positive
ganando,positive
ganancias,positive
bueno,positive
genial,positive
mayor,positive
más grande,positive
muy grande,positive
grandeza,positive
más feliz,positive
felizmente,positive
felicidad,positive
feliz,positive
más alto,positive
honor,positive
honorable,positive
honrado,positive
honrando,positive
honores,positive
ideal,positive
impresionar,positive
impresionado,positive
impresionante,positive
impresionantemente,positive
mejorando,positive
increíble,positive
increíblemente,positive
influyente,positive
informativo,positive
ingenio,positive
innovar,positive
innovado,positive
innova,positive
innovando,positive
innovación,positive
innovaciones,positive
innovador,positive
innovadora,positive
innovadores,positive
perspicaz,positive
inspiración,positive
inspirador,positive
integridad,positive
inventar,positive
inventado,positive
